oblast_intervence_nazev_en,oblast_intervence_kod,climate_share,op_zkr,op_id,fin_pravniakt_czv,fin_pravniakt_eu,fin_pravniakt_narodni_verejne,fin_pravniakt_soukr,fin_vyuct_czv,fin_vyuct_eu,fin_vyuct_narodni_verejne,fin_vyuct_verejne,fin_vyuct_soukr,fin_vyuct_narodni,n_prj,prv_opatreni_orig,prv_opatreni_id,prv_opatreni_typ,prv_opatreni_nazev
"Adaptation to climate change measures and prevention and management of climate related risks e.g. erosion, fires, flooding, storms and drought, including awareness raising, civil protection and disaster management systems and infrastructures",IV.4.087,1,IROP,06,6811909332.823117,5830870989.732,981038343.0911176,0,4489240936.489626,3852710452.0966845,636530484.3929441,4489240936.489626,2.5582266971468925e-8,636530484.3929441,555,NA,NA,NA,NA
"Adaptation to climate change measures and prevention and management of climate related risks e.g. erosion, fires, flooding, storms and drought, including awareness raising, civil protection and disaster management systems and infrastructures",IV.4.087,1,OP ŽP,05,1591438284.7399998,1328216025.2599998,256091151.03,7131108.45,1104018905.89,924325558.25,172625614.91,1096951173.16,7067732.729999995,179693347.64,219,NA,NA,NA,NA
"Risk prevention and management of non-climate related natural risks (i.e. earthquakes) and risks linked to human activities (e.g. technological accidents), including awareness raising, civil protection and disaster management systems and infrastructures",IV.4.088,0,IROP,06,290719094.74188226,248936276.618,41782818.12388237,0,22031215.930373892,20305975.1253178,1725240.805056084,22031215.930373892,5.238689482212067e-10,1725240.805056084,60,NA,NA,NA,NA
"Risk prevention and management of non-climate related natural risks (i.e. earthquakes) and risks linked to human activities (e.g. technological accidents), including awareness raising, civil protection and disaster management systems and infrastructures",IV.4.088,0.4,IROP,06,502723613.335,427315071.30999994,75408542.02499999,0,456896701.22999996,388362195.95799994,68534505.27200001,456896701.23,-1.6763806343078613e-8,68534505.272,20,NA,NA,NA,NA
"Risk prevention and management of non-climate related natural risks (i.e. earthquakes) and risks linked to human activities (e.g. technological accidents), including awareness raising, civil protection and disaster management systems and infrastructures",IV.4.088,0,OP ŽP,05,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
"Risk prevention and management of non-climate related natural risks (i.e. earthquakes) and risks linked to human activities (e.g. technological accidents), including awareness raising, civil protection and disaster management systems and infrastructures",IV.4.088,0.4,OP ŽP,05,2967863083.34,2224466850.4000006,739749288.9300004,3646944.01,2498439915.600001,1873657230.8800004,621140196.6600003,2494797427.5400014,3642488.0600000154,624782684.7200001,779,NA,NA,NA,NA
Rehabilitation of industrial sites and contaminated land,IV.4.089,0,OP ŽP,05,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
Rehabilitation of industrial sites and contaminated land,IV.4.089,0.4,OP ŽP,05,3585560789.3600006,3046577243.02,202098364.42999998,336885181.90999997,1894794007.4299998,1609045565.0100002,153462998.32,1762508563.3299997,132285444.1,285748442.41999996,116,NA,NA,NA,NA
"Protection, development and promotion of public tourism assets",IV.4.092,0,OP ŽP,05,13716484.86,13716484.86,0,0,7936095.15,7936095.15,0,7936095.15,0,0,1,NA,NA,NA,NA
"Protection, development and promotion of public cultural and heritage assets",IV.4.094,0,IROP,06,15271194397.730001,12980515237.430002,1896467925.320001,394211234.98000014,8691666240.640001,7387916300.22,1081262421.4400005,8469178721.659999,222487518.9800001,1303749940.4200015,247,NA,NA,NA,NA
